Fish Curry,4,0,4.2,100,1,0,0,45,0,0,0,0,0,0,200,0,1
Semai,4,1030,2,0,0,100,0,20,0,0,0,0,0,0,0,0,0
Mishti Doi,4,875,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
Halua,3,300,0,0,0,82.5,0,7,0,0,0,0,0,0,0,0,0
Narkel Naru,4,0,0,0,0,200,0,0,0,375,0,0,0,0,0,0,0
Bhaat,1,0,2,0,0,0,0,0,0,0,0,0,160,0,0,0,1
Bhaat,1,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0
Bhaat,2,0,2.5,0,0,0,0,0,0,0,0,0,250,0,0,0,1
Bhaat,5,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0
Mixed Vegetable,5,0,10,150,600,0,0,50,0,0,0,0,0,0,0,0,1
Mixed Vegetable,5,0,10,150,650,0,0,50,0,0,0,0,0,0,0,0,1
Roshmalai,4,865,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Halua,3,375,2,0,0,250,0,0,0,0,4,0,0,0,0,0,0
Halua,4,405,2,0,0,125,0,0,0,0,0,0,0,0,0,0,0
Biryani,5,8.4,5,300,0,8.4,0,125,0,0,5,0,500,0,0,0,1
Biryani,4,205,3,200,15,8.4,0,125,1000,0,0,0,500,0,0,0,0
Biryani,4,155,3,100,15,8.4,0,125,0,0,0,700,500,0,0,0,0
Biryani,4,225,3,0,15,8.4,700,125,0,0,0,0,500,0,0,0,0
Bhaji,5,0,4,1000,0,0,0,260,0,0,0,0,0,0,0,0,0
Bhaji,5,0,4,1000,0,0,0,260,0,0,0,0,0,0,0,0,0
Bhaji,3,0,1.5,250,0,0,0,260,0,0,0,0,0,0,0,0,1
Bhaji,5,0,4,0,500,0,0,10,0,0,0,0,0,0,0,0,1
Bhaji,2,0,1.5,200,0,0,0,10,0,0,3,0,0,0,0,0,1
Bhaji,2,0,1.5,200,0,0,0,10,0,0,3,0,0,0,0,0,1
Bhaji,2,0,0,200,200,0,0,10,0,0,3,0,0,0,0,0,1
Bhaji,2,5,0,200,300,0,0,10,0,0,3,0,0,0,0,0,1
Bhaji,3,0,2,100,200,0,0,30,0,0,0,0,0,0,0,0,1
Bhaji,3,0,1.5,0,200,0,0,30,0,0,0,0,0,0,0,0,1
Dim Vuna,6,0,2.5,0,0,0,0,15,0,0,6,0,0,0,0,0,1
Dal,5,0,4.5,0,0,0,0,50,0,0,0,0,0,0,0,0,1
Dal,5,0,4.5,0,0,0,0,50,0,0,0,0,0,0,0,0,1
Dal,4,0,0,0,80,0,0,15,0,0,0,0,0,0,0,0,1
Dal,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1
Fish Curry,6,0,12.6,0,200,2.1,0,25.2,0,0,0,0,0,0,1500,0,0
Beef Curry,6,0,8.2,0,9.4,0,0,90,1000,0,0,0,0,0,0,0,1
Beef Curry,4,0,4.2,0,1,0,0,100,1500,0,0,0,0,0,0,0,0
Lamb Curry,6,0,8.2,0,9.4,0,0,90,0,0,0,1000,0,0,0,0,1
Lamb Curry,4,0,8.2,0,9.4,0,0,90,0,0,0,1000,0,0,0,0,0
Begun bharta ,3,0,2,0,150,0,0,5,0,0,0,0,0,0,0,0,1
Begun bharta ,3,0,2,0,150,0,0,0,0,0,0,0,0,0,0,0,1
Dim bharta,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1
Dim bharta,5,0,3.5,0,0,0,0,8,0,0,2,0,0,0,0,0,1
Dim bharta,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1
Dherosh bharta,3,0,4.5,0,250,0,0,5,0,0,0,0,0,0,0,0,1
kachkola bharta,3,0,3.5,0,150,0,0,4,0,150,0,0,0,0,0,0,1
Milk Pudding,6,695,0,0,0,250,0,0,0,0,0,0,0,125,0,0,0
Kalijeera bharta,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1
